raw_text,normalized_code,type,occurrences,notes
"گرم","گرم","unknown","2241",""
"عدد","عدد","unknown","2046",""
"قاشق غذاخوری","قاشق غذاخوری","unknown","1826",""
"پیمانه","پیمانه","unknown","1649",""
"حبه","حبه","unknown","415",""
"لیتر","لیتر","unknown","123",""
"لیوان","لیوان","unknown","96",""
"ورق","ورق","unknown","91",""
"قاشق چایخوری","قاشق چایخوری","unknown","88",""
"بسته","بسته","unknown","46",""
"شاخه","شاخه","unknown","25",""
"قاشق مرباخوری","قاشق مرباخوری","unknown","8",""
"خوشه","خوشه","unknown","1",""
